# SYNTHETIC DATASET - GENERATED FOR ACADEMIC DEMONSTRATION ONLY
# This data does NOT represent official Chennai crime statistics.
# Generated by: Chennai Crime Pattern Analyzer (College Capstone Project)
# Fixed seed: 20240101 - Dataset is fully reproducible.
crime_id,date,time,year,month,day_of_week,hour,area,zone,crime_type,severity,latitude,longitude,description,case_status
CMA-000001,2023-03-03,19:15:12,2023,3,Friday,19,Chromepet,South West,Cyber Crime,HIGH,12.949912,80.143737,Social media impersonation complaint,UNDER_INVESTIGATION
CMA-000002,2021-11-02,00:02:11,2021,11,Tuesday,0,Triplicane,Central,Vehicle Theft,LOW,13.054592,80.275391,Motorcycle stolen during market visit,CLOSED
CMA-000003,2023-07-24,23:31:53,2023,7,Monday,23,Saidapet,Central,Vehicle Theft,LOW,13.017422,80.227053,Two-wheeler reported stolen from parking area,CLOSED
CMA-000004,2023-08-19,18:24:53,2023,8,Saturday,18,Kodambakkam,West Central,Cyber Crime,MEDIUM,13.055670,80.218158,Social media impersonation complaint,UNDER_INVESTIGATION
CMA-000005,2024-04-16,13:13:08,2024,4,Tuesday,13,Sholinganallur,South East,Fraud,LOW,12.903214,80.230410,Investment fraud complaint; victim lost savings,CLOSED
CMA-000006,2024-08-08,19:00:42,2024,8,Thursday,19,T Nagar,Central,Theft,MEDIUM,13.044880,80.232643,Petty theft reported near a commercial establishment,CLOSED
CMA-000007,2021-07-14,20:03:00,2021,7,Wednesday,20,Egmore,Central,Theft,LOW,13.077269,80.259536,Theft of personal belongings in a public area,CLOSED
CMA-000008,2022-05-26,20:19:42,2022,5,Thursday,20,Vadapalani,West Central,Assault,HIGH,13.045367,80.209418,Physical altercation reported in public area,UNDER_INVESTIGATION
CMA-000009,2020-10-25,03:09:00,2020,10,Sunday,3,Anna Nagar,North,Chain Snatching,LOW,13.088841,80.211606,Chain snatching incident on busy street,UNDER_INVESTIGATION
CMA-000010,2021-05-11,15:29:51,2021,5,Tuesday,15,Pallavaram,South West,Vehicle Theft,LOW,12.972428,80.152757,Car theft reported from residential street,CLOSED
CMA-000011,2024-08-22,08:37:06,2024,8,Thursday,8,T Nagar,Central,Assault,HIGH,13.045568,80.235115,Physical altercation reported in public area,UNDER_INVESTIGATION
CMA-000012,2024-08-01,07:45:22,2024,8,Thursday,7,Royapettah,Central,Robbery,HIGH,13.049320,80.258475,Armed robbery at a small business,UNDER_INVESTIGATION
CMA-000013,2021-07-17,17:14:53,2021,7,Saturday,17,Pallavaram,South West,Cyber Crime,LOW,12.966586,80.144451,Social media impersonation complaint,CLOSED
CMA-000014,2022-12-12,04:21:12,2022,12,Monday,4,Saidapet,Central,Burglary,HIGH,13.019185,80.224456,Commercial premises broken into during non-business hours,UNDER_INVESTIGATION
CMA-000015,2023-04-14,21:11:02,2023,4,Friday,21,Ambattur,North West,Fraud,MEDIUM,13.111118,80.158566,Job offer scam reported,UNDER_INVESTIGATION
CMA-000016,2021-12-16,09:46:42,2021,12,Thursday,9,Triplicane,Central,Theft,HIGH,13.062624,80.278598,Petty theft reported near a commercial establishment,UNDER_INVESTIGATION
CMA-000017,2022-02-17,14:43:49,2022,2,Thursday,14,Egmore,Central,Vandalism,MEDIUM,13.069545,80.259747,Shop shutters damaged overnight,CLOSED
CMA-000018,2023-11-15,18:47:38,2023,11,Wednesday,18,Mylapore,Central,Burglary,LOW,13.032696,80.272090,Commercial premises broken into during non-business hours,UNDER_INVESTIGATION
CMA-000019,2020-07-05,19:00:46,2020,7,Sunday,19,T Nagar,Central,Fraud,LOW,13.045423,80.236419,Cheating complaint filed against unknown person,CLOSED
CMA-000020,2022-11-10,18:27:57,2022,11,Thursday,18,Mylapore,Central,Theft,MEDIUM,13.039825,80.270053,Theft of personal belongings in a public area,UNDER_INVESTIGATION
